iter	Passed	Remaining
518	705	653
519	705	651
520	706	649
521	708	648
522	709	647
523	710	645
524	713	645
525	715	644
526	716	642
527	717	641
528	718	640
529	719	638
530	720	636
531	722	635
532	723	634
533	725	632
534	726	631
535	727	629
536	728	628
537	729	626
538	731	625
539	732	623
540	766	650
541	779	659
542	781	657
543	782	655
544	783	653
545	786	654
546	788	652
547	789	651
548	790	649
549	791	647
550	793	646
551	794	644
552	795	642
553	796	641
554	797	639
555	798	637
556	802	638
557	803	636
558	804	635
559	806	633
560	809	633
561	810	631
562	811	629
563	812	627
564	815	627
565	817	626
566	819	625
567	820	623
568	821	622
569	822	620
570	823	618
571	824	617
572	825	615
573	826	613
574	828	612
575	832	613
576	835	612
577	836	610
578	837	608
579	838	607
580	840	605
581	842	604
582	845	604
583	847	603
584	848	602
585	850	600
586	851	599
587	853	597
588	854	596
589	857	595
590	859	594
591	861	593
592	862	592
593	863	590
594	865	588
595	866	587
596	868	586
597	869	584
598	872	583
599	873	582
600	876	581
601	877	580
602	879	578
603	880	577
604	882	576
605	883	574
606	884	572
607	886	571
608	887	569
609	888	568
610	890	566
611	891	564
612	892	563
613	892	561
614	894	559
615	895	558
616	897	556
617	898	555
618	899	553
619	901	552
620	902	550
621	903	549
622	904	547
623	905	545
624	906	543
625	907	541
626	908	540
627	909	538
628	911	537
629	912	536
630	913	534
631	915	532
632	916	531
633	917	529
634	919	528
635	922	527
636	923	526
637	924	524
638	926	523
639	930	523
640	932	522
641	933	520
642	934	518
643	935	517
644	937	515
645	937	513
646	938	512
647	939	510
648	940	508
649	941	506
650	945	506
651	946	505
652	948	503
653	949	502
654	951	500
655	952	499
656	952	497
657	953	495
658	954	493
659	955	492
660	959	491
661	960	490
662	962	489
663	963	487
664	965	486
665	966	484
666	967	482
667	968	481
668	969	479
669	973	479
670	975	478
671	976	476
672	979	475
673	980	474
674	981	472
675	982	470
676	983	469
677	987	468
678	989	467
679	990	466
680	992	464
681	993	463
682	994	461
683	995	459
684	996	458
685	997	456
686	998	455
687	1001	454
688	1002	452
689	1003	450
690	1004	449
691	1005	447
692	1005	445
693	1006	443
694	1007	442
695	1008	440
696	1009	438
697	1010	437
698	1010	435
699	1011	433
700	1012	431
701	1015	431
702	1016	429
703	1017	427
704	1018	426
705	1018	424
706	1019	422
707	1020	420
708	1021	419
709	1022	417
710	1023	415
711	1023	414
712	1024	412
713	1025	410
714	1026	409
715	1027	407
716	1029	406
717	1030	404
718	1031	403
719	1032	401
720	1033	399
721	1034	398
722	1034	396
723	1035	394
724	1036	393
725	1037	391
726	1038	389
727	1039	388
728	1040	386
729	1040	385
730	1042	383
731	1043	382
732	1044	380
733	1045	378
734	1046	377
735	1047	375
736	1048	374
737	1049	372
738	1050	370
739	1051	369
740	1051	367
741	1052	365
742	1053	364
743	1054	362
744	1055	361
745	1057	359
746	1058	358
747	1060	357
748	1061	355
749	1062	354
750	1064	352
751	1065	351
752	1066	349
753	1067	348
754	1068	346
755	1072	346
756	1073	344
757	1074	342
758	1075	341
759	1076	339
760	1077	338
761	1077	336
762	1078	335
763	1079	333
764	1080	331
765	1081	330
766	1082	328
767	1083	327
768	1085	326
769	1086	324
770	1088	323
771	1089	321
772	1090	320
773	1091	318
774	1092	317
775	1093	315
776	1095	314
777	1096	312
778	1097	311
779	1099	309
780	1101	308
781	1103	307
782	1103	305
783	1104	304
784	1105	302
785	1106	301
786	1107	299
787	1107	298
788	1108	296
789	1109	294
790	1110	293
791	1111	291
792	1113	290
793	1114	289
794	1115	287
795	1116	286
796	1117	284
797	1118	283
798	1119	281
799	1120	280
800	1121	278
801	1122	277
802	1123	275
803	1123	273
804	1124	272
805	1125	270
806	1128	269
807	1129	268
808	1130	266
809	1131	265
810	1132	263
811	1133	262
812	1134	260
813	1135	259
814	1136	257
815	1137	256
816	1137	254
817	1138	253
818	1139	251
819	1141	250
820	1143	249
821	1144	247
822	1145	246
823	1146	244
824	1147	243
825	1148	241
826	1149	240
827	1150	238
828	1151	237
829	1152	235
830	1152	234
831	1156	233
832	1157	232
833	1158	230
834	1159	229
835	1160	227
836	1161	226
837	1162	224
838	1163	223
839	1164	221
840	1165	220
841	1166	218
842	1167	217
843	1168	215
844	1169	214
845	1170	213
846	1171	211
847	1172	210
848	1174	208
849	1175	207
850	1176	205
851	1177	204
852	1178	203
853	1179	201
854	1180	200
855	1181	198
856	1182	197
857	1183	195
858	1184	194
859	1185	192
860	1186	191
861	1187	190
862	1188	188
863	1189	187
864	1190	185
865	1190	184
866	1191	182
867	1192	181
868	1193	179
869	1194	178
870	1196	177
871	1197	175
872	1198	174
873	1199	172
874	1200	171
875	1201	170
876	1202	168
877	1202	167
878	1203	165
879	1204	164
880	1205	162
881	1206	161
882	1207	159
883	1208	158
884	1209	157
885	1210	155
886	1211	154
887	1212	152
888	1213	151
889	1214	150
890	1214	148
891	1215	147
892	1216	145
893	1217	144
894	1218	142
895	1218	141
896	1219	140
897	1220	138
898	1221	137
899	1222	135
900	1224	134
901	1225	133
902	1226	131
903	1227	130
904	1228	128
905	1228	127
906	1229	126
907	1230	124
908	1231	123
909	1232	121
910	1233	120
911	1233	119
912	1234	117
913	1235	116
914	1236	114
915	1238	113
916	1240	112
917	1241	110
918	1242	109
919	1242	108
920	1243	106
921	1244	105
922	1245	103
923	1246	102
924	1247	101
925	1247	99
926	1248	98
927	1250	97
928	1252	95
929	1253	94
930	1254	92
931	1255	91
932	1257	90
933	1257	88
934	1258	87
935	1259	86
936	1260	84
937	1261	83
938	1263	82
939	1265	80
940	1266	79
941	1267	78
942	1268	76
943	1269	75
944	1270	73
945	1271	72
946	1272	71
947	1274	69
948	1275	68
949	1276	67
950	1277	65
951	1278	64
952	1280	63
953	1281	61
954	1281	60
955	1282	59
956	1283	57
957	1284	56
958	1285	54
959	1286	53
960	1287	52
961	1288	50
962	1289	49
963	1290	48
964	1290	46
965	1293	45
966	1295	44
967	1299	42
968	1300	41
969	1301	40
970	1302	38
971	1304	37
972	1305	36
973	1306	34
974	1307	33
975	1308	32
976	1309	30
977	1311	29
978	1312	28
979	1313	26
980	1314	25
981	1315	24
982	1316	22
983	1317	21
984	1318	20
985	1319	18
986	1319	17
987	1320	16
988	1321	14
989	1322	13
990	1323	12
991	1324	10
992	1325	9
993	1326	8
994	1326	6
995	1327	5
996	1328	3
997	1329	2
998	1330	1
999	1330	0
